concept,polarity,closeness_male,closeness_female,closeness_global_north,closeness_global_south
stop_ige,negative,,,,
good_rain,positive,,,,
stop_rupee,negative,,,,
stop_trail,negative,,,,
block_appointment,negative,,,,
good_strategy,positive,,,,
good_volume,positive,,,,
good_model,positive,,,,
good_tool,positive,,,,
block_mine,negative,,,,
stop_bleed,negative,,,,
stop_auction,negative,,,,
good_utilisation,positive,,,,
good_motor,positive,,,,
good_sheet,positive,,,,
end_cent,negative,,,,
good_balance,positive,,,,
new_assist,positive,,,,
exclude_income,negative,,,,
exclude_impact,negative,,,,
exclude_more,negative,,,,
exclude_truck,negative,,,,
stop_delivery,negative,,,,
exclude_russia,negative,,,,
good_debt,positive,,,,
stop_ford,negative,,,,
good_tariff,positive,,,,
stop_sigh,negative,,,,
good_reason,positive,,,,
good_lunch,positive,,,,
stock_raise,positive,,,,
well_prepare,positive,,,,
new_arrangement,positive,,,,
hope_make,positive,,,,
announce_earnings,positive,,,,
then_earnings,positive,,,,
company_acquire,positive,,,,
repeat_earnings,positive,,,,
good_support,positive,,,,
just_make,positive,,,,
bank_make,positive,,,,
drug_make,positive,,,,
already_make,positive,,,,
customer_produce,positive,,,,
again_make,positive,,,,
new_design,positive,,,,
eye_earnings,positive,,,,
persimmon_make,positive,,,,
market_make,positive,,,,
up_make,positive,,,,
successfully_make,positive,,,,
further_develop,positive,,,,
export_make,positive,,,,
solution_make,positive,,,,
now_make,positive,,,,
factory_produce,positive,,,,
acquisition_make,positive,,,,
machine_produce,positive,,,,
employee_acquire,positive,,,,
advance_progress,positive,,,,
location_make,positive,,,,
capability_make,positive,,,,
also_make,positive,,,,
platform_make,positive,,,,
shareholder_make,positive,,,,
both_make,positive,,,,
program_make,positive,,,,
subdivision_make,positive,,,,
formation_produce,positive,,,,
subsidiary_produce,positive,,,,
company_earn,positive,,,,
university_acquire,positive,,,,
now_acquire,positive,,,,
however_make,positive,,,,
firm_receive,positive,,,,
early_make,positive,,,,
fully_produce,positive,,,,
manufacturer_acquire,positive,,,,
automation_make,positive,,,,
quickly_make,positive,,,,
firm_acquire,positive,,,,
also_acquire,positive,,,,
house_make,positive,,,,
yet_make,positive,,,,
plant_acquire,positive,,,,
bank_acquire,positive,,,,
furniture_make,positive,,,,
plot_acquire,positive,,,,
share_acquire,positive,,,,
asset_acquire,positive,,,,
newly_establish,positive,,,,
firm_build,positive,,,,
biological_make,positive,,,,
so_make,positive,,,,
simply_make,positive,,,,
burn_waste,negative,,,,
india_produce,positive,,,,
soon_make,positive,,,,
tv_make,positive,,,,
director_make,positive,,,,
punter_make,positive,,,,
aviation_make,positive,,,,
revive_earnings,positive,,,,
aid_earnings,positive,,,,
sentiment_make,positive,,,,
major_make,positive,,,,
rupee_make,positive,,,,
margin_make,positive,,,,
correction_make,positive,,,,
valuation_make,positive,,,,
international_make,positive,,,,
even_make,positive,,,,
norm_make,positive,,,,
disappointing_earnings,positive,,,,
more_earnings,positive,,,,
oil_make,positive,,,,
crunch_make,positive,,,,
home_make,positive,,,,
exposure_make,positive,,,,
shaky_earnings,positive,,,,
still_make,positive,,,,
trader_make,positive,,,,
proposal_make,positive,,,,
fund_make,positive,,,,
argentina_make,positive,,,,
flat_earnings,positive,,,,
smart_earnings,positive,,,,
abroad_acquire,positive,,,,
stellar_earnings,positive,,,,
quarter_earnings,positive,,,,
safe_ride,positive,,,,
stability_make,positive,,,,
investor_make,positive,,,,
industry_make,positive,,,,
dismal_earnings,positive,,,,
competition_make,positive,,,,
ford_produce,positive,,,,
pressure_make,positive,,,,
expenditure_make,positive,,,,
motor_make,positive,,,,
cycle_make,positive,,,,
forward_earnings,positive,,,,
also_produce,positive,,,,
forecast_earnings,positive,,,,
model_make,positive,,,,
structure_make,positive,,,,
new_production,positive,,,,
truck_produce,positive,,,,
vehicle_make,positive,,,,
advanced_platform,positive,,,,
independently_make,positive,,,,
steadily_make,positive,,,,
currently_make,positive,,,,
well_establish,positive,,,,
china_make,positive,,,,
sale_make,positive,,,,
truck_make,positive,,,,
newly_develop,positive,,,,
compliance_make,positive,,,,
seat_make,positive,,,,
carmaker_make,positive,,,,
auto_make,positive,,,,
delivery_make,positive,,,,
honestly_make,positive,,,,
too_produce,positive,,,,
canada_make,positive,,,,
us_make,positive,,,,
car_make,positive,,,,
maybe_make,positive,,,,
average_earnings,positive,,,,
just_piss,positive,,,,
suv_make,positive,,,,
ford_make,positive,,,,
tesla_produce,positive,,,,
just_acquire,positive,,,,
new_sheet,positive,,,,
now_undervalue,negative,,,,
quick_profit,positive,,,,
release_decide,negative,,,,
shift_time,negative,,,,
release_deck,negative,,,,
blame_policy,negative,,,,
new_sanction,positive,,,,
new_representation,positive,,,,
reconstitute_board,negative,,,,
clearly_raise,positive,,,,
not_raise,positive,,,,
company_raise,positive,,,,
material_base,positive,,,,
first_raise,positive,,,,
